0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,target
49,7,1,1,0,202,1,0,0,16,9,651,2,104,1,0,1
49,2,1,2,0,313,1,0,0,16,9,42,2,188,2,0,0
39,1,2,0,0,419,1,0,0,16,9,186,1,181,1,0,0
42,9,1,2,0,14282,1,0,0,16,9,77,1,103,4,2,0
56,0,1,1,0,1270,1,0,0,16,9,80,2,165,2,1,0
44,0,1,1,0,4826,1,0,0,16,9,102,1,185,4,1,0
42,7,1,1,0,1048,1,0,0,16,9,71,1,186,1,0,0
41,9,1,1,0,112,1,0,0,16,9,1081,1,131,1,0,0
51,9,1,1,0,563,1,0,0,16,9,504,1,123,3,0,0
36,1,1,1,0,1797,1,1,0,16,9,166,1,181,2,0,0
52,9,1,2,0,3440,1,0,0,16,9,124,1,131,1,0,0
42,2,1,2,0,373,0,0,0,16,9,174,1,154,3,0,0
45,9,1,1,0,2020,1,0,0,16,9,62,1,131,1,0,0
35,2,1,1,0,24,1,0,0,16,9,128,1,181,1,0,0
38,4,1,2,0,425,1,0,0,16,9,240,1,181,1,0,0
47,9,1,1,0,80,0,1,0,16,9,74,1,145,1,0,0
43,6,1,1,0,634,1,0,0,16,9,65,1,131,1,0,0
33,1,1,1,0,0,1,0,0,16,9,809,3,181,1,1,0
40,1,2,1,0,677,1,0,0,16,9,619,1,171,5,1,0
54,9,1,1,0,899,0,1,0,16,9,61,1,145,1,1,0
50,4,1,2,0,830,0,0,0,16,9,71,1,138,2,0,0
54,7,1,1,0,2719,1,0,0,16,9,166,2,171,2,0,0
44,10,1,1,0,0,1,0,0,16,9,58,1,195,2,0,0
43,1,0,1,0,-259,0,0,0,16,9,732,1,171,2,1,0
51,4,1,2,0,248,1,1,0,16,9,139,2,126,3,0,0
51,9,1,1,0,12061,1,0,0,16,9,150,1,188,1,0,0
42,9,2,1,0,-15,0,0,0,16,9,89,1,145,1,0,0
46,7,0,1,0,0,0,0,0,16,9,407,1,150,3,2,0
50,4,1,2,0,4,0,0,0,16,9,223,1,96,2,0,0
44,4,1,2,0,1451,1,0,0,16,9,157,3,150,12,0,0
41,10,1,0,0,557,1,0,0,16,9,158,1,173,1,0,0
37,4,2,2,0,600,1,0,0,16,9,116,2,196,1,0,0
53,0,1,1,0,350,0,1,0,16,9,113,3,132,2,0,0
53,6,1,1,0,248,0,1,0,16,9,99,1,126,3,0,0
52,9,1,1,0,1818,0,1,0,16,9,189,2,111,4,0,0
36,4,0,2,0,3837,1,0,0,16,9,184,1,193,1,2,0
37,0,1,2,0,0,1,0,0,16,9,65,2,119,1,0,0
44,4,1,2,0,58,1,0,0,16,9,48,1,126,3,0,0
59,4,0,2,0,3552,1,0,0,16,9,690,1,123,7,1,0
32,0,1,1,0,0,1,1,0,16,9,159,2,195,2,0,0
41,4,1,2,0,20,1,0,0,16,9,99,1,151,2,0,0
37,7,1,1,1,-954,1,0,0,16,9,69,1,180,3,0,0
43,3,1,0,0,0,0,1,0,16,9,836,1,129,2,0,0
51,1,1,0,0,230,1,0,0,16,9,174,1,195,1,0,0
56,4,1,2,0,505,1,1,0,16,9,171,1,172,2,0,0
44,7,1,1,0,3843,1,0,0,16,9,70,1,150,2,1,0
56,4,2,0,0,109,0,1,1,16,9,124,1,129,18,1,0
39,6,1,2,0,5,1,0,0,16,9,118,2,131,1,1,0
38,9,1,1,0,821,1,1,0,16,9,224,2,180,1,0,0
42,9,1,0,0,275,0,0,0,16,9,295,2,109,9,0,0
34,4,2,2,0,1049,1,0,0,16,9,101,2,129,1,0,0
38,1,1,0,0,0,1,0,0,16,9,78,2,193,2,0,0
53,5,1,2,0,2269,0,0,0,16,9,1091,2,150,1,2,1
41,1,1,1,0,271,1,0,0,16,9,148,2,172,2,0,0
48,4,0,2,0,-478,1,0,0,16,9,87,5,167,6,0,0
54,4,1,2,0,3795,1,1,0,16,9,227,2,119,1,0,0
55,2,1,1,0,653,1,0,0,16,9,193,2,186,1,0,0
38,9,2,1,0,1255,1,0,0,16,9,151,2,171,2,0,0
50,9,0,1,0,-403,0,1,0,16,9,130,2,119,2,0,0
42,10,1,0,0,2636,0,0,0,16,9,178,2,151,1,0,0
40,3,1,1,0,1029,1,1,0,16,9,117,2,117,3,0,0
38,0,1,1,0,0,0,0,1,16,9,599,2,158,8,1,0
57,4,1,1,0,1502,0,0,1,16,9,340,2,109,11,0,0
30,9,2,1,0,426,1,0,1,16,9,127,4,111,6,0,0
56,4,2,1,0,237,1,0,1,16,9,117,3,131,4,0,0
39,9,1,1,0,8,0,1,0,16,9,333,2,96,2,0,0
43,7,0,1,0,1043,1,0,0,16,9,57,4,119,3,0,0
42,7,1,1,0,1027,1,0,1,16,9,188,2,168,2,0,0
44,4,1,2,0,724,1,0,0,16,9,157,2,172,1,0,0
36,1,1,1,0,0,1,0,0,16,9,273,2,131,1,0,0
40,10,1,1,0,219,1,0,0,16,9,204,2,196,1,0,0
43,4,1,2,0,2767,1,0,0,16,9,374,1,186,7,0,0
40,9,1,1,0,1269,1,0,0,16,9,353,1,172,1,0,0
56,7,1,1,0,1150,0,1,0,16,9,107,1,117,3,0,0
37,9,1,1,0,5115,1,0,0,16,9,1210,2,171,4,0,1
56,4,2,2,0,1092,1,1,0,16,9,176,3,186,4,0,0
37,4,1,1,0,121,0,1,0,16,9,211,2,151,2,0,0
58,1,0,1,0,644,0,1,0,16,9,220,4,109,4,0,0
45,2,1,1,0,781,0,1,0,16,9,652,2,126,2,0,1
50,9,1,1,0,0,1,0,0,16,9,114,4,168,2,0,0
46,0,1,1,0,4958,1,0,0,16,9,64,3,150,5,1,0
35,7,0,1,0,204,1,0,0,16,9,295,1,186,9,1,0
40,1,1,1,0,755,0,0,0,16,9,408,1,117,1,0,0
43,9,1,2,0,1201,1,1,0,17,9,82,1,97,3,0,0
40,6,1,2,0,3059,1,1,0,17,9,41,1,182,1,0,0
36,3,1,0,0,4324,1,0,0,17,9,139,4,127,4,0,0
44,4,1,2,0,756,1,0,0,17,9,65,1,130,2,0,0
37,1,1,1,0,723,1,0,0,17,9,119,1,110,2,0,0
37,9,1,1,0,195,1,0,0,17,9,68,1,194,2,0,0
41,9,1,1,0,3275,1,0,0,17,9,121,1,168,1,1,0
42,2,1,2,0,2249,1,0,1,17,9,228,1,125,5,0,0
53,9,1,1,0,137,0,1,0,17,9,52,1,176,1,0,0
44,9,1,1,0,10888,1,0,0,17,9,67,1,105,1,0,0
41,0,1,1,0,4320,1,0,0,17,9,164,1,166,2,0,0
41,1,1,0,0,1461,1,0,0,17,9,290,1,165,2,2,0
48,4,1,1,0,4415,1,0,0,17,9,271,1,102,6,0,0
58,4,1,2,0,9339,1,0,1,17,9,52,3,172,3,1,0
56,9,1,1,0,589,1,0,0,17,9,208,1,26,3,2,0
34,1,1,1,0,559,1,0,1,17,9,47,1,193,1,1,0
39,0,2,2,0,283,1,0,0,17,9,346,1,179,3,1,0
36,9,1,1,0,154,1,0,0,17,9,231,1,96,2,1,0
47,4,0,2,0,428,1,0,0,17,9,116,1,167,1,1,0
42,0,2,1,0,-247,1,1,0,17,9,104,2,28,2,2,0
37,9,1,1,0,0,1,0,0,17,9,173,1,179,6,0,0
35,4,2,1,0,5260,1,0,0,17,9,59,1,182,2,0,0
33,9,2,1,0,1769,1,0,0,17,9,273,1,182,1,0,0
46,4,1,2,0,4301,1,1,0,17,9,50,1,183,2,0,0
46,9,1,1,0,68,1,1,0,17,9,111,2,155,3,0,0
36,0,0,1,0,454,1,0,0,17,9,165,1,131,1,0,0
32,1,2,1,0,53,1,0,0,17,9,276,1,195,1,0,0
38,4,2,2,0,1515,1,0,0,17,9,134,1,110,5,0,0
37,3,2,2,0,561,0,0,0,17,9,188,1,165,2,0,0
59,2,1,1,0,2429,0,1,0,17,9,79,2,182,7,0,0
40,7,0,1,0,1155,0,1,0,17,9,175,1,138,1,0,0
59,1,1,0,0,14,1,1,0,17,9,319,2,182,1,0,0
36,4,2,2,0,0,0,1,0,17,9,300,1,96,4,0,0
51,1,1,0,0,1194,1,0,0,17,9,714,1,186,3,0,0
45,1,2,1,0,91,0,1,0,17,9,149,1,127,2,0,0
38,4,2,2,0,427,1,0,0,17,9,253,1,182,1,0,0
42,1,1,1,0,1958,1,0,0,17,9,129,1,172,3,0,0
30,9,2,2,0,3,1,0,0,17,9,54,1,195,1,0,0
51,6,1,2,0,146,0,0,0,17,9,150,2,126,3,0,0
37,4,1,2,0,3770,1,0,0,17,9,106,1,110,4,0,0
41,7,1,1,0,446,1,0,0,17,9,296,1,186,1,2,0
33,0,0,1,0,661,1,0,0,17,9,411,1,173,2,1,0
30,9,2,1,0,4787,1,0,0,17,9,266,1,167,2,0,0
36,9,1,1,0,1345,1,0,0,17,9,82,1,172,3,0,0
58,4,1,2,0,0,1,0,0,17,9,265,1,188,1,0,0
42,1,1,0,0,2273,1,0,0,17,9,253,1,112,2,0,0
41,1,1,1,0,1100,1,0,0,17,9,397,1,173,2,0,0
43,9,1,1,0,764,1,0,0,17,9,164,5,127,5,0,0
34,4,2,2,0,1494,1,0,0,17,9,596,1,182,1,1,1
48,7,1,1,0,2877,1,0,0,17,9,77,1,168,1,0,0
30,9,2,1,1,-305,0,1,0,17,9,37,1,96,6,0,0
31,9,1,2,0,26,0,1,0,17,9,419,1,127,6,1,1
43,9,2,1,1,685,1,0,0,17,9,78,1,110,2,0,0
34,0,2,1,0,10,0,1,0,17,9,162,1,173,3,0,0
35,4,1,2,0,1041,0,0,0,17,9,586,1,120,3,1,0
36,0,2,1,0,1927,1,0,0,17,9,288,1,137,1,1,0
44,4,1,0,0,1880,1,0,0,17,9,34,1,124,6,0,0
45,9,0,1,0,5862,1,0,0,17,9,352,1,110,3,1,0
36,4,1,2,0,0,1,0,0,17,9,103,1,175,2,0,0
33,1,1,1,0,596,1,0,0,17,9,77,1,127,3,0,0
47,0,1,1,0,829,1,1,0,17,9,48,1,188,1,0,0
47,1,1,1,0,3237,1,0,0,17,9,38,1,187,3,0,0
35,9,1,1,0,222,1,0,0,17,9,233,1,190,6,0,0
39,0,1,1,0,3732,1,0,0,17,9,515,1,181,2,0,0
39,6,1,2,0,585,1,0,0,17,9,48,1,181,3,0,0
31,7,2,1,0,2038,1,0,0,17,9,239,1,182,1,0,0
37,10,2,2,0,1316,1,0,0,17,9,389,1,172,2,0,0
50,9,1,1,0,-353,1,1,0,17,9,162,1,175,2,0,0
39,4,0,2,0,5009,1,0,0,17,9,255,1,126,2,0,0
56,0,0,1,0,0,0,0,0,17,9,100,1,154,2,0,0
30,0,0,1,0,83,1,1,0,17,9,118,2,196,1,0,0
45,1,1,0,0,147,1,0,0,17,9,226,1,168,2,0,0
33,1,1,1,0,157,1,0,0,17,9,110,1,182,1,0,0
45,9,1,1,0,3395,1,0,0,17,9,92,1,188,1,0,0
39,3,1,0,0,694,1,1,0,17,9,91,1,168,2,1,0
37,1,2,1,0,690,1,0,0,17,9,105,1,179,2,0,0
37,7,2,1,0,54,1,0,0,17,9,328,2,131,1,0,0
33,9,2,2,0,179,1,0,0,17,9,432,2,181,4,1,0
40,7,2,1,0,326,1,0,0,17,9,124,1,175,1,0,0
45,9,1,1,0,1441,1,0,0,17,9,93,1,113,2,1,0
39,9,1,1,0,484,0,1,0,17,9,61,1,113,3,1,0
38,1,1,1,0,-288,1,1,0,17,9,68,1,165,2,0,0
41,9,1,1,0,2123,0,0,0,17,9,232,1,102,2,0,0
44,9,1,1,0,1901,0,0,0,17,9,143,3,104,2,0,0
41,1,1,1,0,1954,0,0,0,17,9,65,1,110,2,2,0
45,4,2,2,0,16,0,0,0,17,9,100,1,110,2,0,0
34,4,0,2,0,5754,1,0,0,17,9,32,1,181,1,0,0
52,0,0,1,0,2717,0,0,1,17,9,114,1,162,2,0,0
43,2,2,0,0,103,1,0,0,17,9,53,1,183,5,0,0
37,4,1,0,0,5427,0,0,0,17,9,201,1,159,1,0,0
37,4,2,2,0,1743,1,0,0,17,9,192,1,113,2,0,0
48,1,1,0,0,1092,0,1,0,17,9,79,1,172,8,0,0
35,4,1,2,0,4943,1,0,0,17,9,295,1,124,2,0,0
42,4,1,2,0,2110,0,1,0,17,9,67,1,110,2,0,0
34,4,1,2,0,63,0,0,0,17,9,83,1,102,2,0,0
32,1,2,1,0,118,1,0,0,17,9,216,1,124,1,2,0
50,6,2,2,0,21,1,0,0,17,9,157,1,188,1,0,0
30,4,1,2,0,900,0,0,0,17,9,123,1,124,2,0,0
32,0,1,1,0,1785,1,0,0,17,9,51,2,154,6,1,0
55,7,1,1,0,3546,1,1,0,17,9,588,1,110,2,0,0
32,4,1,2,0,1667,1,0,0,17,9,164,2,179,3,0,0
32,7,2,1,0,2251,1,1,0,17,9,131,1,124,1,0,0
31,0,2,1,0,2076,0,1,0,17,9,178,1,127,7,1,0
46,1,2,0,0,3046,1,1,0,17,9,84,1,183,1,1,0
44,9,1,1,0,533,1,0,0,17,9,127,1,110,2,0,0
36,1,1,1,0,2894,1,0,0,17,9,91,1,124,1,0,0
34,4,1,2,0,11,1,0,0,17,9,123,1,124,1,0,0
32,4,1,2,0,3107,1,1,0,17,9,165,2,116,1,0,0
48,1,1,1,0,3008,1,1,0,17,9,163,1,187,3,0,0
48,4,2,2,0,648,1,0,0,17,9,290,1,110,2,0,0
39,7,1,1,0,173,1,0,0,17,9,96,2,182,2,0,0
47,0,2,1,0,19,1,1,0,17,9,90,2,123,1,0,0
52,1,1,2,0,297,1,0,0,17,9,62,2,195,1,0,0
59,9,0,1,0,797,1,0,0,17,9,319,2,165,2,0,0
36,7,2,1,0,1482,1,0,0,17,9,177,2,174,1,1,0
38,2,1,2,0,678,0,1,0,17,9,82,2,152,1,0,0
54,1,1,1,0,506,1,0,0,17,9,172,2,104,2,0,0
51,4,1,2,0,-516,1,0,0,17,9,120,2,187,2,0,0
44,4,2,2,0,1356,0,1,0,17,9,264,2,134,2,1,0
47,1,1,0,0,1533,0,1,0,17,9,273,2,96,4,0,0
34,1,1,0,0,500,1,0,0,17,9,240,2,182,1,0,0
54,0,1,1,0,3729,0,1,0,17,9,597,2,116,1,1,0
30,1,1,1,0,246,1,0,0,17,9,166,2,113,5,0,0
43,4,2,2,0,-56,1,0,0,17,9,146,2,151,14,0,0
52,7,1,1,0,2257,1,0,1,17,9,102,2,188,1,0,0
36,1,1,1,0,402,0,1,0,17,9,86,2,154,1,0,0
39,4,1,1,0,517,1,0,0,17,9,387,3,196,2,0,0
32,4,2,2,0,0,1,0,0,17,9,244,2,168,1,1,0
46,4,1,2,0,0,0,0,0,17,9,716,2,110,3,1,1
45,4,2,2,0,5694,1,0,0,17,9,145,2,193,2,0,0
54,6,1,2,0,368,0,0,0,17,9,74,2,110,4,0,0
41,2,1,1,0,-1882,1,0,0,17,9,17,5,151,2,1,0
36,2,2,1,0,296,0,0,0,17,9,67,2,111,2,0,0
38,9,1,1,0,508,1,0,0,17,9,722,3,175,2,0,0
36,9,2,0,0,2169,1,0,0,17,9,133,2,110,3,1,0
44,9,1,1,0,2626,1,0,0,17,9,170,2,188,3,0,0
59,2,1,0,0,124,1,0,0,17,9,531,3,134,7,0,0
36,4,1,2,0,521,0,1,0,17,9,135,2,152,1,1,0
40,0,2,1,0,2854,1,0,0,17,9,354,2,169,1,0,0
30,7,0,1,0,0,1,1,0,17,9,174,2,111,3,0,0
34,1,1,1,0,932,0,1,0,17,9,148,2,132,1,1,0
42,4,2,2,0,1113,1,1,0,17,9,89,2,162,12,0,0
33,4,1,2,0,1522,1,0,0,17,9,171,2,179,3,0,0
44,7,1,1,0,-236,1,0,0,17,9,218,2,113,7,2,0
36,6,2,2,0,3560,0,0,0,17,9,658,3,169,2,0,0
42,1,0,1,0,898,1,0,0,17,9,136,2,131,1,0,0
36,9,0,1,0,556,1,0,0,17,9,154,3,189,1,0,0
53,6,1,1,0,1066,1,0,0,17,9,110,1,186,3,0,0
38,9,1,1,0,728,1,0,0,17,9,286,1,181,2,1,0
52,6,1,2,0,5350,1,1,0,17,9,68,2,110,4,2,0
40,9,1,1,0,7313,1,0,0,17,9,241,2,182,1,0,0
30,9,2,2,0,0,1,0,0,17,9,342,2,174,1,0,0
45,7,1,1,0,1550,1,0,0,17,9,143,2,166,6,0,0
38,7,1,1,0,4392,0,0,0,17,9,23,2,110,2,0,0
47,0,0,0,0,1095,1,0,0,17,9,171,1,110,2,1,0
33,1,1,1,0,328,1,0,0,17,9,160,2,182,1,0,0
41,3,0,0,0,22,1,0,0,17,9,238,3,126,4,1,0
51,4,1,2,0,1612,1,0,0,17,9,61,2,131,1,0,0
33,9,1,2,0,17455,1,1,0,17,9,168,3,179,4,0,0
32,1,1,1,0,491,1,0,0,17,9,131,3,194,2,0,0
47,9,1,1,0,826,1,0,1,17,9,195,3,112,8,1,0
32,7,1,1,0,3839,1,0,0,17,9,100,2,189,1,0,0
51,4,0,2,0,1937,1,0,0,17,9,185,4,152,11,1,0
40,4,2,1,0,9916,0,0,0,17,9,411,3,8,1,0,0
56,5,1,1,0,728,0,0,0,17,9,163,2,110,15,0,0
32,4,1,1,0,6217,1,1,0,17,9,486,2,181,2,0,0
41,0,1,1,0,1327,1,1,0,17,9,425,2,176,2,0,0
36,9,1,1,0,-179,1,0,0,17,9,476,2,124,1,0,0
46,1,1,1,0,942,0,0,0,17,9,240,3,119,2,0,0
34,1,1,1,0,3990,1,0,0,17,9,591,2,117,7,0,0
34,9,2,2,0,2047,1,0,0,17,9,72,2,113,5,0,0
44,1,0,1,0,-184,1,0,0,17,9,825,2,154,3,1,0
30,4,1,2,0,1185,1,0,0,17,9,342,2,120,4,0,0
30,0,2,1,0,2802,0,1,1,17,9,285,2,137,2,0,0
43,7,1,1,0,508,1,0,0,17,9,200,1,172,1,0,0
51,4,2,2,0,6030,1,0,0,17,9,157,2,110,3,0,0
45,9,0,1,0,-14,0,0,0,17,9,39,2,127,3,0,0
46,4,0,2,0,6269,1,0,1,17,9,249,3,112,2,0,0
30,1,1,1,0,1131,1,1,0,17,9,189,1,144,5,0,0
40,0,0,1,0,399,1,1,0,17,9,166,3,96,2,0,0
46,7,0,1,0,864,1,0,0,17,9,105,5,188,2,0,0
49,6,1,2,0,202,1,0,0,17,9,139,1,166,3,1,0
31,4,2,2,0,3142,1,0,0,17,9,235,1,123,1,0,0
53,5,1,1,0,1139,1,0,0,17,9,180,1,186,6,0,0
48,1,1,0,0,214,1,1,0,17,9,246,1,162,1,0,0
34,1,1,1,0,1412,1,1,0,17,9,149,1,175,2,0,0
35,9,1,1,0,2019,1,1,0,17,9,83,2,144,1,0,0
52,4,1,2,0,1295,1,0,0,17,9,121,1,123,1,1,0
31,4,1,2,0,1164,1,1,0,17,9,141,2,123,3,0,0
36,4,1,2,0,369,0,0,0,17,9,193,4,102,2,0,0
45,1,1,1,0,17,1,0,0,17,9,66,1,152,14,0,0
31,0,1,1,0,355,1,0,0,17,9,530,1,193,1,0,0
35,7,1,1,0,66,1,0,0,17,9,110,1,123,1,1,0
51,6,1,0,0,106,1,0,1,17,9,366,3,110,2,0,0
56,5,1,2,0,839,0,1,0,17,9,630,1,187,2,1,0
43,4,1,1,0,481,1,0,1,17,9,164,1,110,2,1,0
30,9,1,1,0,-306,1,1,0,17,9,372,1,186,1,0,0
44,7,1,1,0,1106,1,0,1,18,9,178,5,119,11,0,0
41,2,1,2,0,171,1,0,0,18,9,209,1,191,4,0,0
58,6,1,2,0,8014,1,0,0,18,9,697,2,184,3,0,0
55,1,0,1,0,4053,0,0,0,18,9,113,1,166,2,0,0
32,0,2,2,0,1583,1,0,0,18,9,100,1,182,1,0,0
42,7,1,2,0,412,1,0,1,18,9,142,4,169,5,0,0
30,4,1,2,0,314,0,0,0,18,9,364,2,175,2,2,0
37,9,1,1,0,7957,0,0,0,18,9,706,1,111,2,0,0
39,4,2,1,0,4278,1,0,0,18,9,43,1,111,2,1,0
32,7,0,1,0,1156,1,0,0,18,9,81,1,182,1,0,0
39,4,2,2,0,1682,1,0,0,18,9,147,1,170,1,0,0
31,4,2,2,0,3625,1,0,0,18,9,112,1,180,2,0,0
32,1,2,1,0,1721,1,0,0,18,9,184,2,182,2,0,0
45,4,1,1,0,38,1,0,0,18,9,159,1,188,2,0,0
33,4,2,2,0,541,1,1,0,18,9,140,1,182,1,0,0
30,4,2,2,0,54,1,1,0,18,9,192,1,177,3,0,0
31,4,1,2,0,4924,1,0,0,18,9,316,1,182,2,0,0
54,4,1,2,0,6525,1,0,0,18,9,133,1,170,3,0,0
33,4,1,2,0,3696,0,0,0,18,9,305,1,182,3,0,0
48,10,1,1,0,1811,1,0,1,18,9,137,4,111,3,0,0
33,4,1,2,0,0,1,0,0,18,9,295,1,170,1,0,0
31,1,2,1,0,-366,1,0,0,18,9,313,1,180,1,1,0
32,1,1,1,0,2089,1,0,0,18,9,192,1,5,1,2,0
40,4,1,2,0,12409,1,0,0,18,9,140,1,99,2,0,0
52,5,1,1,0,424,0,0,0,18,9,143,1,154,3,0,0
31,9,2,1,0,1186,1,0,0,18,9,174,1,180,1,0,0
35,4,1,2,0,2801,1,0,0,18,9,70,2,111,2,0,0
32,4,2,2,0,2667,1,0,0,18,9,197,1,99,2,2,0
30,0,2,1,0,382,1,0,0,18,9,369,1,191,1,0,0
31,1,1,0,0,4728,1,0,0,18,9,114,1,183,3,1,0
32,2,1,2,0,964,1,0,0,18,9,130,1,120,2,0,0
36,6,1,1,0,189,1,0,0,18,9,136,1,120,1,0,0
40,7,1,1,0,961,0,1,0,18,9,589,1,133,4,1,0
52,6,1,1,0,-201,0,1,0,18,9,905,1,133,2,0,0
45,4,0,1,0,644,1,0,0,18,9,418,1,168,1,2,1
37,7,2,1,0,50,0,0,0,18,9,244,1,154,8,1,0
36,0,2,2,0,649,0,0,0,18,9,224,1,111,1,1,0
43,4,1,2,0,13044,0,0,0,18,9,215,1,93,4,0,0
35,4,0,2,0,771,1,1,0,18,9,110,1,93,5,0,0
30,4,1,2,0,86,1,1,0,18,9,155,1,97,2,1,0
39,9,1,1,0,3494,1,0,0,18,9,139,1,92,4,0,0
37,6,1,2,0,804,1,0,0,18,9,94,1,170,1,1,0
49,4,1,2,0,6613,0,0,0,18,9,106,1,155,3,0,0
30,1,0,1,0,4591,1,0,0,18,9,89,1,175,1,1,0
34,1,1,1,0,360,1,0,1,18,9,46,1,182,2,0,0
33,9,1,1,0,1234,0,0,0,18,9,109,1,10,1,0,0
45,9,0,1,0,1309,1,0,0,18,9,298,1,170,2,0,0
30,4,2,2,0,234,1,0,0,18,9,206,1,169,2,0,0
32,10,2,2,0,1611,1,0,0,18,9,175,1,180,2,0,0
31,1,1,1,0,1570,1,1,0,18,9,133,2,180,1,1,0
40,6,1,2,0,2977,1,0,0,18,9,375,1,125,1,0,0
46,1,1,1,0,15,1,1,0,18,9,46,2,91,3,0,0
30,1,2,1,1,447,0,0,0,18,9,426,2,189,6,0,0
34,1,1,0,0,2490,1,0,0,18,9,185,2,180,1,0,0
46,6,1,2,0,2421,0,0,0,18,9,1084,1,100,4,0,1
40,1,1,0,0,4608,1,0,1,18,9,111,2,156,1,0,0
53,5,1,2,0,1452,0,1,0,18,9,442,2,113,3,0,0
46,9,0,1,0,-26,1,1,0,18,9,201,1,113,2,1,0
38,9,1,1,0,4030,1,0,0,18,9,75,2,177,5,0,0
43,4,1,2,0,1429,1,0,0,18,9,1015,1,198,2,1,1
32,9,0,1,0,18,0,0,1,18,9,20,1,177,1,0,0
40,8,1,1,0,260,0,0,0,18,9,52,1,152,6,0,0
35,6,2,2,0,538,1,1,0,18,9,308,1,195,9,0,0
32,9,1,1,0,524,0,0,0,18,9,100,1,106,1,0,0
33,6,1,2,0,-103,1,0,0,18,9,149,2,175,1,0,0
33,4,2,2,0,201,1,0,0,18,9,171,1,183,1,0,0
39,3,1,1,0,1444,0,0,0,18,9,100,1,117,8,2,0
46,1,1,1,0,9347,1,0,0,18,9,138,1,117,1,1,0
